District,Update_Count,New_Enrolment_Count
Agra,530056,33375
Aligarh,476509,29095
Allahabad,542333,15776
Ambedkar Nagar,207443,9524
Amethi,211661,8569
Amroha,226912,9736
Auraiya,142690,4603
Ayodhya,36836,1855
Azamgarh,415921,23596
Baghpat,139536,7826
Bahraich,387740,41484
Ballia,302260,12119
Balrampur,237351,14011
Banda,194257,12262
Bara Banki,355331,11273
Barabanki,15528,2526
Bareilly,558416,30726
Basti,247245,12134
Bhadohi,24437,713
Bijnor,514786,19811
Budaun,339309,17223
Bulandshahr,433414,20299
Chandauli,217347,10757
Chitrakoot,130837,6516
Deoria,307914,12293
Etah,184993,12837
Etawah,181372,8689
Faizabad,207860,8066
Farrukhabad,183202,7358
Fatehpur,272845,13953
Firozabad,318914,13992
Gautam Buddha Nagar,284568,20815
Ghaziabad,501714,25558
Ghazipur,343341,13906
Gonda,331962,17492
Gorakhpur,414497,22868
Hamirpur,120123,4421
Hapur,131393,8275
Hardoi,425121,28548
Hathras,164749,7729
Jalaun,168622,6621
Jaunpur,424381,18615
Jhansi,232942,8819
Jyotiba Phule Nagar,1880,99
Kannauj,164457,7696
Kanpur Dehat,181781,9009
Kanpur Nagar,437790,27578
Kasganj,156150,7455
Kaushambi,204805,8526
Kheri,456284,27354
Kushinagar,356014,12847
Lalitpur,156610,5763
Lucknow,514977,28904
Maharajganj,255489,19702
Mahoba,98982,3640
Mainpuri,181076,13101
Mathura,283610,13771
Mau,219247,8911
Meerut,410819,26337
Mirzapur,236660,9140
Moradabad,405184,23522
Muzaffarnagar,372793,14129
Pilibhit,327274,15230
Pratapgarh,294699,12349
Prayagraj,66732,3232
Rae Bareli,298285,11435
Rampur,306354,22178
Saharanpur,422741,21139
Sambhal,257941,10280
Sant Kabir Nagar,204268,7393
Sant Ravidas Nagar,150951,5634
Shahjahanpur,384217,26063
Shamli,210156,9521
Shrawasti,145485,6153
Siddharthnagar,255109,16058
Sitapur,524055,34257
Sonbhadra,212264,6019
Sultanpur,224673,12785
Unnao,351847,21537
Varanasi,423635,26301
